epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.295,1.07659,1.49655,2.20817,0.90934,0.97294,0.95682,0.98905,0.77449,0.94112,0.92387,0.95062,0.67595,0.84117,0.90806,2.54775,0.80644,0.000415522,0.000415522,0.000415522
2,292.971,0.9172,1.14813,1.05649,0.87477,0.98216,0.95771,0.98196,0.775,0.97156,0.9483,0.96545,0.64036,0.80745,1.04103,1.32624,0.80404,0.00082395,0.00082395,0.00082395
3,441.085,0.88609,1.05985,0.7465,0.87033,0.98092,0.98864,0.99396,0.80629,0.93046,0.93561,0.91652,0.62586,0.78743,0.96141,0.85332,0.80365,0.00122413,0.00122413,0.00122413
4,587.164,0.857,1.02668,0.62175,0.8608,0.98733,0.97824,0.9914,0.79492,0.96158,0.95369,0.95399,0.65977,0.81608,0.9279,0.68511,0.79915,0.00121287,0.00121287,0.00121287
5,733.402,0.83465,1.00176,0.55513,0.85633,0.99167,0.98188,0.9938,0.80586,0.9799,0.96212,0.97452,0.68168,0.75585,0.8151,0.56067,0.7908,0.0012005,0.0012005,0.0012005
6,878.703,0.80091,0.97426,0.51912,0.85188,0.98946,0.99242,0.99477,0.85214,0.97974,0.98295,0.98058,0.69038,0.68262,0.7916,0.50242,0.77867,0.00118812,0.00118812,0.00118812
7,1023.93,0.79525,0.94068,0.50015,0.84657,0.98507,0.99025,0.99472,0.83643,0.97424,0.97538,0.98049,0.6807,0.74835,0.80859,0.467,0.78269,0.00117575,0.00117575,0.00117575
8,1169.18,0.77748,0.93316,0.47209,0.84658,0.98953,0.99304,0.99461,0.84369,0.95307,0.95644,0.94381,0.66668,0.70772,0.83624,0.43964,0.78225,0.00116337,0.00116337,0.00116337
9,1313.99,0.76144,0.8941,0.46966,0.84237,0.99238,0.9975,0.99489,0.83361,0.97909,0.98426,0.97806,0.69446,0.69354,0.79276,0.42425,0.77698,0.001151,0.001151,0.001151
10,1459.01,0.75682,0.88081,0.4576,0.84146,0.99156,0.99745,0.99473,0.83509,0.98044,0.98282,0.9836,0.68771,0.68975,0.79743,0.4324,0.77299,0.00113863,0.00113863,0.00113863
11,1608,0.7559,0.88146,0.44478,0.83815,0.98953,0.99042,0.99466,0.86079,0.97296,0.96517,0.9694,0.70284,0.66282,0.71585,0.40635,0.77188,0.00112625,0.00112625,0.00112625
12,1761.49,0.73436,0.86862,0.44062,0.83514,0.99567,0.99811,0.995,0.87673,0.97461,0.97727,0.97436,0.69542,0.63957,0.74795,0.40665,0.77086,0.00111388,0.00111388,0.00111388
13,1909.47,0.71975,0.84732,0.4242,0.83896,0.98805,0.99432,0.99487,0.8698,0.97464,0.98106,0.98391,0.72054,0.63049,0.70267,0.38287,0.77228,0.0011015,0.0011015,0.0011015
14,2066.89,0.71724,0.84314,0.42292,0.83428,0.98879,0.99883,0.99453,0.85291,0.98075,0.97953,0.98144,0.71396,0.68676,0.80699,0.38746,0.77216,0.00108913,0.00108913,0.00108913
15,2222.28,0.69284,0.84885,0.40674,0.83531,0.99472,0.99659,0.99498,0.84668,0.9833,0.98523,0.98291,0.73365,0.66436,0.77922,0.37841,0.77965,0.00107675,0.00107675,0.00107675
16,2367.82,0.69817,0.85381,0.40546,0.83568,0.98577,0.98901,0.99393,0.86131,0.97494,0.96591,0.9728,0.7239,0.64292,0.71533,0.36927,0.76687,0.00106437,0.00106437,0.00106437
17,2513.94,0.70506,0.8269,0.39605,0.83373,0.98717,0.99811,0.99485,0.87398,0.97823,0.97348,0.9715,0.69524,0.64188,0.70198,0.37995,0.76772,0.001052,0.001052,0.001052
18,2659.55,0.68914,0.83305,0.39639,0.82928,0.9949,0.99811,0.99441,0.87267,0.98356,0.98674,0.98223,0.75038,0.62976,0.71175,0.37297,0.7623,0.00103962,0.00103962,0.00103962
19,2809.24,0.6883,0.82256,0.3945,0.83031,0.99457,0.99719,0.995,0.88084,0.97354,0.97638,0.97613,0.74439,0.61359,0.66691,0.35085,0.76406,0.00102725,0.00102725,0.00102725
20,2953.92,0.68041,0.81308,0.39008,0.82857,0.99521,0.99621,0.99487,0.88541,0.96894,0.96591,0.96195,0.72173,0.61189,0.70929,0.35147,0.76389,0.00101488,0.00101488,0.00101488
21,3103.5,0.67578,0.8242,0.38731,0.82934,0.99242,0.99621,0.99492,0.88004,0.97264,0.96402,0.95788,0.72967,0.59929,0.70972,0.35951,0.75879,0.0010025,0.0010025,0.0010025
22,3255.16,0.66662,0.80707,0.37798,0.82669,0.99209,0.99811,0.99496,0.88868,0.98067,0.98674,0.98152,0.74586,0.58176,0.65316,0.33263,0.76156,0.000990125,0.000990125,0.000990125
23,3403.63,0.65878,0.80122,0.36789,0.8248,0.99199,0.99432,0.99472,0.88339,0.978,0.97727,0.9802,0.74322,0.60762,0.70917,0.34181,0.76133,0.00097775,0.00097775,0.00097775
24,3547.96,0.66686,0.81018,0.37639,0.82842,0.99418,0.99242,0.99487,0.88573,0.97278,0.97159,0.97406,0.73193,0.61129,0.75348,0.33354,0.76423,0.000965375,0.000965375,0.000965375
25,3694.57,0.64652,0.78477,0.36655,0.82121,0.99292,0.99572,0.99469,0.88283,0.98341,0.98633,0.98662,0.74087,0.5932,0.66884,0.33044,0.76168,0.000953,0.000953,0.000953
26,3839.45,0.65837,0.78853,0.36802,0.82434,0.99524,0.99739,0.995,0.88465,0.97611,0.9785,0.97294,0.73018,0.603,0.66543,0.32867,0.75947,0.000940625,0.000940625,0.000940625
27,3983.93,0.65703,0.80831,0.36702,0.82378,0.99567,0.99484,0.99489,0.88781,0.97653,0.97592,0.97258,0.74247,0.58311,0.66778,0.32827,0.75961,0.00092825,0.00092825,0.00092825
28,4135.78,0.64885,0.77152,0.36076,0.82284,0.99329,0.99811,0.99381,0.87366,0.97853,0.98295,0.97867,0.74204,0.59436,0.66038,0.33093,0.76316,0.000915875,0.000915875,0.000915875
29,4282.09,0.63601,0.76277,0.35796,0.82125,0.9951,0.99818,0.995,0.90044,0.97805,0.98115,0.9755,0.74713,0.56746,0.65601,0.32731,0.76146,0.0009035,0.0009035,0.0009035
30,4427.33,0.63095,0.77102,0.35517,0.821,0.99648,0.99432,0.99496,0.89381,0.9849,0.98295,0.98185,0.74558,0.56616,0.63266,0.31803,0.75725,0.000891125,0.000891125,0.000891125
31,4572.49,0.63288,0.75148,0.35336,0.82382,0.99709,0.99305,0.99498,0.88425,0.98741,0.98358,0.9872,0.74396,0.60427,0.64425,0.3434,0.76088,0.00087875,0.00087875,0.00087875
32,4717.52,0.63917,0.75866,0.35512,0.82239,0.99649,0.99725,0.995,0.88577,0.97738,0.97833,0.9765,0.70812,0.58307,0.70458,0.31976,0.7601,0.000866375,0.000866375,0.000866375
33,4863.25,0.64405,0.77386,0.35428,0.82624,0.99452,0.99921,0.995,0.89973,0.97771,0.97917,0.97657,0.72943,0.57417,0.66646,0.30424,0.75884,0.000854,0.000854,0.000854
34,5008.9,0.62507,0.76245,0.34799,0.81729,0.99268,0.99923,0.99492,0.89895,0.97114,0.97348,0.9681,0.72537,0.56662,0.67078,0.3095,0.75537,0.000841625,0.000841625,0.000841625
35,5154.9,0.62172,0.75695,0.33994,0.81942,0.99595,1,0.995,0.8978,0.97768,0.97929,0.97732,0.76329,0.57834,0.6823,0.31702,0.75705,0.00082925,0.00082925,0.00082925
36,5297.81,0.61946,0.76335,0.33808,0.81843,0.99692,0.9968,0.995,0.89356,0.97822,0.97746,0.97588,0.75412,0.55651,0.63795,0.30142,0.7568,0.000816875,0.000816875,0.000816875
37,5438.92,0.62608,0.75445,0.34101,0.81875,0.99662,0.99867,0.995,0.89959,0.97967,0.97917,0.97611,0.74554,0.55197,0.64395,0.30623,0.75342,0.0008045,0.0008045,0.0008045
38,5583.92,0.60751,0.75232,0.33336,0.81224,0.99684,0.99843,0.995,0.89334,0.98162,0.98328,0.97851,0.74604,0.53889,0.64061,0.30699,0.75472,0.000792125,0.000792125,0.000792125
39,5729.48,0.60988,0.75173,0.33317,0.81762,0.99579,0.99811,0.995,0.89076,0.97067,0.97159,0.9669,0.73054,0.57208,0.65501,0.30698,0.75254,0.00077975,0.00077975,0.00077975
40,5871.81,0.6105,0.75426,0.3331,0.82034,0.99652,0.99977,0.995,0.89551,0.98135,0.98466,0.97822,0.73883,0.57009,0.63631,0.30759,0.75429,0.000767375,0.000767375,0.000767375
41,6012.81,0.59937,0.74354,0.3355,0.82081,0.99744,0.9984,0.995,0.8985,0.98601,0.98704,0.98569,0.76765,0.56975,0.63541,0.31957,0.75662,0.000755,0.000755,0.000755
42,6154.4,0.6035,0.73881,0.33028,0.81742,0.99566,0.99644,0.99498,0.89713,0.98423,0.98514,0.98355,0.74743,0.55162,0.61188,0.30981,0.752,0.000742625,0.000742625,0.000742625
43,6299.2,0.6018,0.7388,0.32916,0.81644,0.99727,0.99811,0.995,0.8994,0.99154,0.99242,0.98791,0.75661,0.54338,0.64398,0.36064,0.75199,0.00073025,0.00073025,0.00073025
44,6444.1,0.60237,0.74128,0.32618,0.81402,0.99698,0.99811,0.995,0.90218,0.98553,0.98674,0.98244,0.75185,0.53792,0.61734,0.35893,0.75019,0.000717875,0.000717875,0.000717875
45,6588.85,0.60012,0.73233,0.32619,0.81199,0.99451,0.99811,0.99498,0.90248,0.98121,0.98485,0.98305,0.7492,0.53679,0.65868,0.30321,0.75345,0.0007055,0.0007055,0.0007055
46,6734.34,0.58969,0.72015,0.32479,0.81514,0.99641,0.99811,0.995,0.90282,0.97247,0.97348,0.97069,0.75216,0.54839,0.63294,0.29875,0.75465,0.000693125,0.000693125,0.000693125
